"","p.value","HR","Low 95%CI","High 95%CI"
"ABCB1",0.0821787633175549,0.706252045635815,0.477141907430066,1.04537443514722
"ADAM28",0.643960617853506,0.964569762800512,0.827743426103152,1.12401355053842
"ADAMDEC1",0.710668035279919,0.979061444103659,0.875496195588444,1.09487775750535
"AIM2",0.936807827971525,1.00433349713195,0.902511548483375,1.11764306523981
"ANKRD33B",0.0873250293917739,1.32202450411969,0.959956348364842,1.82065444170452
"ANKRD44",0.000577753206311467,0.646763404017254,0.504631377407954,0.828927647988527
"APOL3",0.864488519445903,0.984957038984883,0.827596903045516,1.17223779484408
"ARHGAP25",0.00570714861351948,0.726024471191851,0.578570819924298,0.911057928635903
"ASPHD2",0.663852393881089,1.04777799222279,0.848904422218011,1.29324184472736
"ATF5",0.734567834782226,1.033794168905,0.853091534880379,1.25277340117065
"BANK1",0.00605887766731183,0.738719230738874,0.595055712344353,0.917067243524988
"BTN3A3",0.129424457600372,0.848916961412353,0.686943798505454,1.04908146625893
"C16orf54",0.010156522332417,0.78587622027969,0.653976266654548,0.944378970754499
"C3",0.959242745181189,1.00249493272853,0.91112422085307,1.10302861799177
"CARD11",0.534354717254051,1.04514759516803,0.909256854927632,1.20134755076711
"CBFA2T3",0.000504158270023304,0.604453595139472,0.45516939186542,0.802699292190235
"CCL19",0.0857833426818558,0.930695755449815,0.857479684029995,1.01016339552367
"CCL21",0.82519959714799,1.01080512679343,0.918857040910544,1.11195426367894
"CCND2",0.0379003221570456,0.836298544500409,0.706414796911247,0.990063145041076
"CD19",0.00414517482414566,0.776506760327673,0.653194720662764,0.923098013135779
"CD244",0.0926630665083751,0.743487103479494,0.52629646606925,1.0503074002545
"CD27",0.0262215574861906,0.861034468871239,0.75461868758371,0.982456926634401
"CD69",0.00541389020346407,0.804728560891684,0.690496642506483,0.937858371568724
"CD79A",0.00480320239912997,0.873680459437828,0.795409100619636,0.959654025342252
"CPNE5",0.0368617078070201,0.819292960705244,0.679452035812003,0.987915143500857
"CR2",0.00880776576768478,0.828337426264249,0.719459873151618,0.953691675318053
"CTSW",0.0402953869738915,0.867781381746994,0.757785003025363,0.993744298845035
"CXCL10",0.882528975610062,1.00668707028236,0.921513167380202,1.09973345291935
"CXCL13",0.0853467649577758,0.93196757786477,0.860086537087574,1.00985601882836
"CXCL9",0.633080800810898,0.980316585978947,0.903484216557731,1.06368278618845
"DENND3",0.0563104631758936,0.77374554003647,0.594565622001224,1.00692360703811
"DERL3",0.0379671951040843,0.872446942726796,0.766953531987299,0.992450828019577
"DGKA",0.684618632881717,1.04921155800384,0.832124874886106,1.32293232262709
"FAM53B",0.0418907308973451,0.764406320747314,0.590104359065328,0.990192690872424
"FCRL5",0.0175403374863527,0.780128662813542,0.635599321338966,0.957522624884424
"FDCSP",0.004851961602152,0.878823062769226,0.803278265858491,0.96147251641331
"FGD3",0.00178529806025377,0.684110683810343,0.539113140372662,0.868106140725756
"FKBP11",0.387089035291393,0.919205452110675,0.759455060019986,1.11255913308123
"FOXP3",0.253923674212294,0.884192309492889,0.715676015653319,1.09238820788579
"GAB3",0.000493407668112185,0.60297444705279,0.453643346552515,0.801462617189578
"GBP4",0.906792841515721,0.991904231345638,0.865713759396695,1.13648881455578
"GIMAP5",0.0153098392064884,0.567400067911627,0.35889874671865,0.897029705479854
"GNLY",0.793669741576399,0.983493695173173,0.868168402339164,1.114138507966
"GZMH",0.385328499698959,0.941539075372657,0.821812837579406,1.07870769342654
"HAPLN3",0.390331726668986,1.07438316549815,0.912147706385005,1.26547397776234
"IGLL5",0.319103238669398,0.95956005583055,0.884715903510247,1.04073578545643
"IL16",0.00054491127325744,0.659792470975368,0.521241079457354,0.835172287665785
"IL18R1",0.81654754571716,1.03080903818841,0.797702870101097,1.3320339101654
"ITGAL",0.00585168666908045,0.799779150656723,0.682284476796856,0.937507317809956
"ITM2A",0.167754711241574,0.902067334252968,0.779186325360743,1.04432720267456
"JAK3",0.285988457739587,0.896811975147491,0.734202686808398,1.09543554282556
"JSRP1",0.081013732963244,0.885327541900295,0.772122345176739,1.01513038878289
"KCNA3",0.0100788139627522,0.784737354264925,0.652431449409315,0.943873437947
"KLHDC7B",0.607649696395904,0.958589348292937,0.815675060087186,1.12654362456841
"LAG3",0.58283132955399,0.95762569986805,0.820530297981346,1.11762720194961
"LGALS2",0.526273980241499,0.953221479001595,0.821945491923034,1.10546404470708
"LTB",0.0332916662548649,0.880006610489049,0.782291594802713,0.989927080451023
"MAL",0.00605169986924499,0.805494520612941,0.690222811847425,0.940017356135853
"MS4A1",0.00040584830244084,0.787262998769694,0.689516018280055,0.898866759872892
"MYO7A",0.99662232789497,0.99943644819671,0.769853716652764,1.29748443422088
"MZB1",0.111197654532799,0.928054476621732,0.846589683544895,1.01735838307314
"NFATC1",0.015646233179113,0.706812844933877,0.533466936291707,0.936486150831176
"NKG7",0.772770704850795,0.982970586075212,0.874798197735992,1.10451893429786
"P2RX1",0.000678231846758016,0.592503515458643,0.438115003054719,0.801297406806686
"PDE4B",0.037193316210855,0.796506103543383,0.643047448633125,0.986586564226953
"PDK1",0.31094292536406,0.882008121466775,0.691827586032412,1.1244684977001
"PIM2",0.017936936516353,0.841014801347311,0.728678715043603,0.970669077445103
"PLA1A",0.113191999471639,0.892267380548355,0.774890376900919,1.02742413910816
"PLA2G2A",0.0922830974899296,0.913202155282009,0.82159444593007,1.01502411626902
"PLA2G2D",0.267008203979786,0.936510163374301,0.83408477284733,1.05151336489378
"POU2AF1",0.00863050528694144,0.827194620543049,0.717994240096639,0.953003383652857
"PPP1R16B",0.0217550261391072,0.803541654603571,0.666608200756764,0.968603731472311
"PRF1",0.698302213175281,0.972372637008741,0.843935022540057,1.12035704165655
"PRKCH",0.0178348441594279,0.701582121447842,0.523281007365091,0.940636992757959
"PRKCQ",0.246549306896548,0.876532438075039,0.701398607694668,1.09539583707333
"PTGDS",0.00406024875322918,0.861147551384075,0.777668011857021,0.953588284393947
"RASGRP2",0.00245499224142954,0.660524038557659,0.505054501282352,0.863851335657356
"RGS9",0.0479232054334023,0.593644714835024,0.354098264607885,0.995243644703559
"S1PR4",0.0362160748792553,0.813016873667402,0.6698436075156,0.986792184700401
"SCAMP5",0.397161880815053,0.920663337950843,0.760327347816412,1.11481059346487
"SIRPG",0.145169118942407,0.857920432457666,0.698084258019602,1.05435333911753
"SLAMF7",0.148340871213015,0.91257261963452,0.806103217571861,1.03310440642469
"SPOCK2",0.0800692584733863,0.880460415975802,0.763477160745961,1.01536834886175
"STAT1",0.0974365346594915,1.14060212733122,0.976270992381194,1.33259435446233
"SYNE3",0.029295588822646,0.615952597053413,0.398374724622857,0.952363637467266
"TBC1D10C",0.00936728728014944,0.772537796522706,0.63588176577661,0.938562291257497
"TMEM156",0.348626278344808,1.06983102152036,0.928992380018914,1.23202131602413
"TNFAIP3",0.485872936126868,1.05657150038349,0.905074648373765,1.23342680896924
"TNFRSF13C",0.01608768401595,0.785452445152691,0.645231619234013,0.956145863292837
"TNFRSF17",0.00825376203165573,0.830851855975939,0.724121076226328,0.9533140647917
"UBD",0.980845552337078,0.998821690987728,0.907168503588356,1.09973479727453
"VPREB3",0.0431644909309448,0.864831827282717,0.751279898559263,0.995546521230615
